,Word,lengths
143,丁点,2
144,下,1
145,下儿,2
146,下子,2
147,不做 不休,5
148,不小心,3
149,世,1
150,丘之貉,3
151,丢丢,2
152,并,1
153,中 台,3
154,中原则,3
155,之为甚,3
156,之谓甚,3
157,干 净,3
158,了百了,3
159,事无成,3
160,运动,2
161,事变,2
162,十,1
163,些,1
164,人得道 鸡犬升天,8
165,介不取,3
166,代,1
167,代不如 代,5
168,以贯之,3
169,来,1
170,来 去,3
171,个中国政策,5
172,个人,2
173,个个,2
174,个劲,2
175,个劲儿,3
176,个半,2
177,个天南 个地北,7
178,个将军 个令,6
179,个巴掌拍不响,6
180,个幽灵在欧洲游荡,8
181,个接 个,4
182,个样,2
183,个萝卜 个坑,6
184,个头两个大,5
185,倡 叹,3
186,侧化,2
187,传十 十传百,6
188,价,1
189,元,1
190,元化,2
191,元复始,3
192,元论,2
193,元醇,2
194,共,1
195,再,1
196,准,1
197,刀两断,3
198,刀切,2
199,分 毫,3
200,分为,2
201,分熟,2
202,分耕耘 分收获,7
203,分钱 分货,5
204,分钱两分货,5
205,切,1
206,切事物,3
207,切向钱看,4
208,切如旧,3
209,切就绪,3
210,切险,2
211,刻千金,3
212,则,1
213,则以喜 则以忧,7
214,刹那,2
215,动不动,3
216,劳永逸,3
217,匙,1
218,千 夜,3
219,半,1
220,半天,2
221,卡通,2
222,去不回,3
223,去不复返,4
224,去无影踪,4
225,反常态,3
226,反往常,3
227,口,1
228,口价,2
229,口吃不成胖子,6
230,口吃个胖子,5
231,口咬定,3
232,口气,2
233,口气儿,3
234,古脑儿,3
235,句,1
236,句话,2
237,同,1
238,吐为快,3
239,向,1
240,周,1
241,味,1
242,呼百应,3
243,呼百诺,3
244,命呜呼,3
245,命归天,3
246,命归西,3
247,命归阴,3
248,品,1
249,品红,2
250,品锅,2
251,哄而散,3
252,哄而起,3
253,哭 闹 上吊,6
254,唱 和,3
255,唱 叹,3
256,问 不知,4
257,回事,2
258,回生 回熟,5
259,回生两回熟,5
260,国两制,3
261,团乱糟,3
262,团和气,3
263,团漆黑,3
264,团火,2
265,团糟,2
266,堆,1
267,场空,2
268,块,1
269,块儿,2
270,塌糊涂,3
271,尘不染,3
272,壁,1
273,壁厢,2
274,夔已足,3
275,夕,1
276,夕数惊,3
277,多对应,3
278,夜之间,3
279,夜情,2
280,夜无眠,3
281,夜爆红,3
282,夜露水,3
283,大早,2
284,大早儿,3
285,天 个样,4
286,天到晚,3
287,夫 妻,3
288,夫多妻,3
289,夫当关 万夫莫开,8
290,失足成千古恨,6
291,套,1
292,如,1
293,如往常,3
294,如所料,3
295,如既往,3
296,妻制,2
297,孔之见,3
298,字,1
299,字 泪,3
300,字不差,3
301,字不提,3
302,字不漏,3
303,字不落,3
304,字不识,3
305,字之师,3
306,字儿,2
307,字千金,3
308,字巾,2
309,字纵队,3
310,字褒贬,3
311,学就会,3
312,定,1
313,定要,2
314,家,1
315,家之主,3
316,家人,2
317,家人不说两家话,7
318,家子,2
319,审,1
320,寸光阴 寸金,6
321,寸光阴 寸金 寸金难买寸光阴,14
322,对,1
323,对 斗牛,4
324,对儿,2
325,小撮,2
326,小部分,3
327,小阵儿,3
328,展身手,3
329,层,1
330,山不容 虎,5
331,己,1
332,帆风顺,3
333,席之地,3
334,席话,2
335,带,1
336,带 路,3
337,带而过,3
338,年之计在于春,6
339,年到头,3
340,年半,2
341,年半载,3
342,年 季,3
343,年多,2
344,年期,2
345,年生,2
346,年被蛇咬十年怕井绳,9
347,度,1
348,厢情愿,3
349,式 份,3
350,弹指顷,3
351,往情深,3
352,往无前,3
353,往直前,3
354,律,1
355,径,1
356,心,1
357,心 德,3
358,心 意,3
359,心 用,3
360,心多用,3
361,念之差,3
362,意,1
363,意孤行,3
364,应,1
365,应俱全,3
366,成不变,3
367,战,1
368,房 厅,3
369,手,1
370,手交钱 手交货,7
371,手包办,3
372,手遮天,3
373,打,1
374,技之长,3
375,把好手,3
376,把屎 把尿,5
377,把年纪,3
378,把手,2
379,把抓,2
380,把死拿,3
381,把眼泪 把鼻涕,7
382,把钥匙开 把锁,7
383,抓 大把,4
384,折两段,3
385,抿子,2
386,拍两散,3
387,拍即合,3
388,扫而光,3
389,扫而空,3
390,排,1
391,探究竟,3
392,推,1
393,掬同情之泪,5
394,挥而就,3
395,拨儿,2
396,拥而上,3
397,拥而入,3
398,击入洞,3
399,掷千金,3
400,揽子,2
401,改再改,3
402,改故辙,3
403,败涂地,3
404,文不值,3
405,文不名,3
406,斑,1
407,方,1
408,方面,2
409,旁,1
410,族,1
411,日 秋,3
412,日 餐,3
413,日不如 日,5
414,日不见 如隔 秋,8
415,日之计在于晨,6
416,日之雅,3
417,日千里,3
418,日为师 终身为父,8
419,旦,1
420,早,1
421,星半点,3
422,是 是,3
423,时,1
424,时半刻,3
425,时半晌,3
426,时半会,3
427,时半会儿,4
428,时半霎,3
429,时瑜亮,3
430,时间,2
431,暴十寒,3
432,曝十寒,3
433,更,1
434,会,1
435,会儿,2
436,月,1
437,月份,2
438,望无垠,3
439,望无际,3
440,望而知,3
441,朝 夕,3
442,朝天子 朝臣,6
443,朝被蛇咬 十年怕井绳,10
444,木难支,3
445,本正经,3
446,本万利,3
447,杯羹,2
448,东 西,3
449,板 眼,3
450,枝独秀,3
451,柱擎天,3
452,根筋,2
453,根绳上的蚂蚱,6
454,杆进洞,3
455,条心,2
456,条绳上的蚂蚱,6
457,条路走到黑,5
458,条道走到黑,5
459,条龙,2
460,条龙服务,4
461,棍子打死,4
462,概,1
463,概而论,3
464,槌定音,3
465,枪命中,3
466,模 样,3
467,样,1
468,次,1
469,次函数,3
470,次又 次,4
471,次性,2
472,次方程,3
473,次方程式,4
474,次生 两次熟,6
475,次总付,3
476,步 个脚印,5
477,步 趋,3
478,步到位,3
479,步登天,3
480,步裙,2
481,毛不拔,3
482,气,1
483,气之下,3
484,气呵成,3
485,氧化 氮,4
486,氧化氮,3
487,氧化碳,3
488,水儿,2
489,决雌雄,3
490,波 折,3
491,波未平 波又起,7
492,派胡言,3
493,派谎言,3
494,流,1
495,清 楚,3
496,清 白,3
497,清如水,3
498,清早,2
499,溜烟,2
500,潭死水,3
501,炮打响,3
502,炮而红,3
503,无所动,3
504,无所有,3
505,无所获,3
506,无所知,3
507,无所闻,3
508,无所长,3
509,无是处,3
510,物降 物,4
511,犯再犯,3
512,琴 鹤,3
513,瓶子不响 半瓶子晃荡,10
514,生,1
515,生 世,3
516,甲,1
517,甲子,2
518,男半女,3
519,亩 分地,4
520,病不起,3
521,瘸 拐,3
522,发不可收拾,5
523,发而不可收,5
524,百,1
525,盘散沙,3
526,盘棋,2
527,目了然,3
528,目十行,3
529,直,1
530,直以来,3
531,相情愿,3
532,眨眼,2
533,眼,1
534,眼望去,3
535,眼看穿,3
536,睹,1
537,瞥,1
538,瞬,1
539,瞬间,2
540,矢中的,3
541,知半解,3
542,石 鸟,3
543,碗水端平,4
544,神教,2
545,神论,2
546,秉虔诚,3
547,秘,1
548,种,1
549,空,1
550,窝蜂,2
551,穷 白,3
552,窥端倪,3
553,窍不通,3
554,站式,2
555,笑了之,3
556,笑置之,3
557,笔不苟,3
558,笔勾销,3
559,笔带过,3
560,笔抹杀,3
561,笔抹煞,3
562,等,1
563,等奖,2
564,箭之仇,3
565,箭双雕,3
566,节诗,2
567,筹莫展,3
568,箩筐,2
569,粒老鼠屎坏了 锅粥,9
570,系列,2
571,纸空文,3
572,级,1
573,级士官,3
574,级方程式,4
575,级棒,2
576,级头,2
577,统,1
578,丝 毫,3
579,丝不挂,3
580,丝不苟,3
581,经,1
582,维,1
583,网打尽,3
584,线之间,3
585,线之隔,3
586,线希望,3
587,线微光,3
588,线生机,3
589,总,1
590,而再 再而,5
591,声,1
592,声不吭,3
593,声不响,3
594,肚子,2
595,肚皮,2
596,股子,2
597,股清流,3
598,股脑,2
599,股脑儿,3
600,胎制,2
601,胎化,2
602,脉相承,3
603,腔,1
604,脸茫然,3
605,致,1
606,致字,2
607,致性,2
608,致性效应,4
609,致资源定址器,6
610,举,1
611,举 动,3
612,举两得,3
613,举成功,3
614,举手 投足,5
615,般,1
616,般人,2
617,般来说,3
618,般来讲,3
619,般原则,3
620,般性,2
621,般而言,3
622,般般,2
623,般见识,3
624,般规定,3
625,般说来,3
626,般贸易,3
627,落千丈,3
628,叶知秋,3
629,叶障目,3
630,着不慎 满盘皆输,8
631,号,1
632,号木杆,3
633,号电池,3
634,血,1
635,行,1
636,衣带水,3
637,见倾心,3
638,见如故,3
639,见钟情,3
640,见高低,3
641,视同仁,3
642,亲芳泽,3
643,觉醒来,3
644,览,1
645,览无遗,3
646,览无余,3
647,览众山小,4
648,览表,2
649,角银币,3
650,角鲸,2
651,触即溃,3
652,触即发,3
653,言,1
654,言 动,3
655,言 行,3
656,言不合,3
657,言不发,3
658,言 鼎,3
659,言以蔽之,4
660,言千金,3
661,言堂,2
662,言抄百总,4
663,言既出 驷马难追,8
664,言为定,3
665,言为重,3
666,言难尽,3
667,语不发,3
668,语中的,3
669,语成谶,3
670,语破的,3
671,语道破,3
672,语双关,3
673,说,1
674,诺千金,3
675,贫如洗,3
676,贯,1
677,走了之,3
678,起,1
679,路,1
680,路上,2
681,路来,2
682,路平安,3
683,路货,2
684,路货色,3
685,路顺风,3
686,路风尘,3
687,蹴即至,3
688,蹴可几,3
689,蹴而就,3
690,蹴而得,3
691,蹶不振,3
692,跃而起,3
693,身,1
694,身两役,3
695,身是胆,3
696,身汗,2
697,较高下,3
698,辈子,2
699,轮,1
700,转眼,2
701,辞莫赞,3
702,退,1
703,通百通,3
704,逞兽欲,3
705,连,1
706,连串,2
707,遍,1
708,遍又 遍,4
709,过性,2
710,道,1
711,递 个,3
712,递 声,3
713,边,1
714,边倒,2
715,部 十 史 不知从何说起,12
716,部分,2
717,醉方休,3
718,针见血,3
719,锤子买卖,4
720,锤定音,3
721,钱不值,3
722,钱如命,3
723,错再错,3
724,锅端,2
725,锅粥,2
726,长 短,3
727,门式,2
728,门心思,3
729,闪念,2
730,闪而过,3
731,阵,1
732,阵子,2
733,雨成秋,3
734,雪前耻,3
735,霎,1
736,霎时,2
737,霎眼,2
738,霎间,2
739,灵真性,3
740,面,1
741,面之交,3
742,面之词,3
743,面倒,2
744,头,1
745,头栽进,3
746,头热,2
747,头雾水,3
748,颗老鼠屎坏了 锅汤,9
749,颗老鼠屎坏了 锅粥,9
750,类,1
751,类保护动物,5
752,颦 笑,3
753,饮而尽,3
754,饱眼福,3
755,马勺坏 锅,5
756,马平川,3
757,马当先,3
758,骑绝尘,3
759,惊 乍,3
760,骨碌,2
761,体,1
762,体两面,3
763,体化,2
764,鳞半爪,3
765,鸣惊人,3
766,黑早,2
767,点 滴,3
768,点 点,3
769,点不,2
770,点儿,2
771,点就通,3
772,点水 个泡,5
773,点点,2
774,党,1
775,党专制,3
776,鼓作气,3
777,鼻孔出气,4
778,齐,1
779,丁,1
780,丁丁,2
781,丁丁炒面,4
782,丁丑,2
783,丁 烯,3
784,丁 醇,3
785,丁亥,2
786,丁克,2
787,丁内酯,3
788,丁冬,2
789,丁加奴,3
790,丁卯,2
791,丁卯战争,4
792,丁卯胡乱,4
793,丁型肝炎,4
794,丁基,2
795,丁夫,2
796,丁字,2
797,丁字尺,3
798,丁字梁,3
799,丁字步,3
800,丁字街,3
801,丁字裤,3
802,丁字镐,3
803,丁客,2
804,丁宁,2
805,丁宠家庭,4
806,丁巳,2
807,丁巳复辟,4
808,丁忧,2
809,丁是丁 卯是卯,7
810,丁未,2
811,丁格犬,3
812,丁汝昌,3
813,丁烯,2
814,丁烷,2
815,丁玲,2
816,丁磊,2
817,丁糖,2
818,丁肇中,3
819,丁艰,2
820,丁酉,2
821,丁醇,2
822,丁醛,2
823,丁 当啷,4
824,丁青,2
825,丁青县,3
826,丁韪良,3
827,丁香,2
828,丁骨牛排,4
829,丁鲷,2
830,丁鱥,2
831,丂,1
832,上 下,3
833,上 落,3
834,事,1
835,分之,2
836,十 国集团,5
837,十年代,3
838,台河,2
839,台河市,3
840,和弦,2
841,喜,1
842,嘴 张,3
843,嘴 舌,3
844,国集团,3
845,堵,1
846,堵区,2
847,夕节,2
848,大姑 大姨,5
849,大工业国集团,6
850,姊妹星团,4
851,孔,1
852,巧板,2
853,带石斑鱼,4
854,年之痒,3
855,弦琴,2
856,弯 拐,3
857,彩,1
858,情,1
859,情 欲,3
860,手 脚,3
861,扭 歪,3
862,折 扣,3
863,拼 凑,3
864,政 余,3
865,日热,2
866,旬老人,3
867,星,1
868,星区,2
869,星瓢虫,3
870,曜,1
871,武士,2
872,河州,2
873,湾 拐,3
874,爷 爷,3
875,碳糖,2
876,窍,1
877,窍生烟,3
878,级浮屠,3
879,美,1
880,美乡,2
881,老 十,3
882,声音阶,3
883,叶树,2
884,荤 素,3
885,角形,2
886,言律诗,3
887,边形,2
888,里河,2
889,里河区,3
890,里香,2
891,碎,1
892,落,1
893,项全能,3
894,魄,1
895,鳃鳗,2
896,龙珠,2
897,丄,1
898,丅,1
899,丆,1
900,万,1
901,万俟,2
902,丈,1
903,丈 和尚 摸不着头脑,10
904,丈 金刚摸不着头脑,9
905,丈人,2
906,丈 蛇矛,4
907,丈夫,2
908,丈母,2
909,丈母娘,3
910,丈量,2
911,开,1
912,开定论,3
913,两两,2
914,下 除,3
915,下两下,3
916,不,1
917,不 时,3
918,不朽,2
919,不沾,2
920,不知,2
921,不管,2
922,中全会,3
923,天,1
924,成群,2
925,井,1
926,亚,1
927,亚市,2
928,人成虎,3
929,人行,2
930,人行 则必有我师,8
931,人行 必有我师,7
932,仇,1
933,代同堂,3
934,令 申,3
935,件套式西装,5
936,伏,1
937,伏天,2
938,位 体,3
939,位博士,3
940,侠 义,3
941,个世界,3
942,个代表,3
943,个和尚没水吃,6
944,个和尚没水喝,6
945,个女人 个墟,6
946,个女人 台戏,6
947,个臭皮匠 胜过 个诸葛亮,12
948,个臭皮匠 合成 个诸葛亮,12
949,个臭皮匠 赛过 个诸葛亮,12
950,个臭皮匠 赛过诸葛亮,10
951,个臭皮匠 顶个诸葛亮,10
952,倍,1
953,催 请,3
954,元区,2
955,元音,2
956,光政策,3
957,两,1
958,大盖,2
959,节,1
960,公消费,3
961,公经费,3
962,分,1
963,分钟热度,4
964,分头,2
965,包,1
966,北,1
967,北防护林,4
968,十 位元,4
969,十 相,3
970,十 度线,4
971,十 字母,4
972,十 计,3
973,十 计 走为上策,8
974,十 计 走为上计,8
975,十年河东 十年河西,9
976,十而立,3
977,千大千世界,5
978,原,1
979,原则,2
980,原县,2
981,叉戟,2
982,叉神经,3
983,反,1
984,反运动,3
985,句话不离本行,6
986,台县,2
987,合,1
988,合 疫苗,4
989,合土,2
990,合星,2
991,合会,2
992,合院,2
993,味线,2
994,国,1
995,国史记,3
996,国志,2
997,国演义,3
998,围,1
999,地门,2
1000,地门乡,3
1001,大纪律 项注意,7
1002,天不打 上房揭瓦,8
1003,天两头,3
1004,天打鱼 两天晒网,8
1005,夷教,2
1006,姑 婆,3
1007,字经,2
1008,官大帝,3
1009,家村,2
1010,宝,1
1011,宝太监,3
1012,宝鸟,2
1013,寸不烂之舌,5
1014,小,1
1015,尖杉酯碱,4
1016,屉桌,2
1017,岔口,2
1018,岛由纪夫,4
1019,峡,1
1020,峡大坝,3
1021,峡水库,3
1022,峡镇,2
1023,厢,1
1024,废,1
1025,弦,1
1026,得利,2
1027,从 德,3
1028,思而后行,4
1029,思而行,3
1030,手病,2
1031,拗汤,2
1032,振,1
1033,振出局,3
1034,教,1
1035,教 流,3
1036,文治,2
1037,文鱼,2
1038,旬 食,3
1039,明,1
1040,明市,2
1041,明治,2
1042,星堆,2
1043,星乡,2
1044,星集团,3
1045,春,1
1046,昧,1
1047,更半夜,3
1048,曹,1
1049,月街,2
1050,朋 友,3
1051,板,1
1052,柱门,2
1053,框栏,2
1054,条,1
1055,极管,2
1056,权分立,3
1057,权鼎立,3
1058,次元,2
1059,次幂,2
1060,次方,2
1061,次曲线,3
1062,归依,2
1063,段论,2
1064,毛猫,2
1065,民主义,3
1066,民区,2
1067,氟化硼,3
1068,氯化磷,3
1069,氯化铁,3
1070,氯氧磷,3
1071,氯氰胺,3
1072,氯甲烷,3
1073,氯蔗糖,3
1074,水区,2
1075,江并流,3
1076,江侗族自治县,6
1077,江平原,3
1078,江源,2
1079,江生态旅游区,6
1080,河,1
1081,河市,2
1082,法司,2
1083,洋,1
1084,浦,1
1085,浦梅园,3
1086,温暖,2
1087,湾,1
1088,湾乡,2
1089,炮,1
1090,无,1
1091,无人员,3
1092,无企业,3
1093,无产品,3
1094,焦,1
1095,牲,1
1096,班倒,2
1097,瓦两舍,3
1098,生有幸,3
1099,用电表,3
1100,田,1
1101,略,1
1102,番 次,3
1103,番两次,3
1104,叠纪,2
1105,百 十行,4
1106,皇,1
1107,皇 帝,3
1108,皇炮捶,3
1109,相点,2
1110,硝基甲苯,4
1111,磷酸腺苷,4
1112,秒胶,2
1113,棱草,2
1114,棱镜,2
1115,穗,1
1116,穗县,2
1117,等分,2
1118,等分角,3
1119,节鞭,2
1120,级片,2
1121,级跳,2
1122,级跳远,3
1123,索锦蛇,3
1124,维空间,3
1125,纲 常,3
1126,缄其口,3
1127,义,1
1128,义乡,2
1129,聚氰胺,3
1130,聚体,2
1131,联式发票,4
1132,联书店,3
1133,联管,2
1134,胚层动物,4
1135,胞胎,2
1136,脚两步,3
1137,脚架,2
1138,脚猫,2
1139,膲,1
1140,自,1
1141,自爱国教会,5
1142,自教会,3
1143,色堇,2
1144,色紫罗兰,4
1145,色猫,2
1146,芝,1
1147,芝乡,2
1148,茶 饭,3
1149,菱,1
1150,叶星云,3
1151,叶草,2
1152,叶虫,2
1153,藏,1
1154,藏法师,3
1155,藩之乱,3
1156,藩叛乱,3
1157,藩市,2
1158,苏,1
1159,亲 故,3
1160,角,1
1161,角债,2
1162,角凳,2
1163,角函数,3
1164,角学,2
1165,角巾,2
1166,角座,2
1167,角恐龙,3
1168,角恋爱,3
1169,角板,2
1170,角柱体,3
1171,角法,2
1172,角洲,2
1173,角测量法,4
1174,角肌,2
1175,角腹带,3
1176,角裤,2
1177,角裤衩,3
1178,角锥,2
1179,角铁,2
1180,角关系,3
1181,角龙,2
1182,言两句,3
1183,言两语,3
1184,论宗,2
1185,貂角,2
1186,贞 烈,3
1187,资企业,3
1188,足乌,2
1189,足金乌,3
1190,趾啄木鸟,4
1191,趾滨鹬,3
1192,趾翠鸟,3
1193,趾鸦雀,3
1194,趾鸥,2
1195,跪 叩,3
1196,军,1
1197,军用命,3
1198,轮车,2
1199,轮车夫,3
1200,农,1
1201,农问题,3
1202,迭纪,2
1203,通,1
1204,连胜,2
1205,道眉草鹀,4
1206,部曲,2
1207,都水族自治县,6
1208,都县,2
1209,酸甘油酯,4
1210,里屯,2
1211,重,1
1212,重奏,2
1213,重县,2
1214,键,1
1215,铁,1
1216,长两短,3
1217,门,1
1218,门峡,2
1219,门峡市,3
1220,门县,2
1221,阿姨,2
1222,陪小姐,3
1223,只手,2
1224,音,1
1225,音度,2
1226,项,1
1227,项式,2
1228,头 臂,3
1229,头肌,2
1230,顾茅庐,3
1231,马同槽,3
1232,驾马车,3
1233,体问题,3
1234,魂 魄,3
1235,鲜,1
1236,鹿,1
1237,鹿集团,3
1238,点全露,3
1239,点水,2
1240,上,1
1241,上 个,3
1242,上 次当 学 次乖,9
1243,上 号,3
1244,上 页,3
1245,上上之策,4
1246,上下,2
1247,上下 千年,5
1248,上下其手,4
1249,上下床,3
1250,上下文,3
1251,上下文菜单,5
1252,上下班,3
1253,上下铺,3
1254,上不了台面,5
1255,上不得台盘,5
1256,上乘,2
1257,上了年纪,4
1258,上交,2
1259,上代,2
1260,上任,2
1261,上位,2
1262,上位概念,4
1263,上佳,2
1264,上来,2
1265,上供,2
1266,上个,2
1267,上个星期,4
1268,上个月,3
1269,上传,2
1270,上元,2
1271,上元节,3
1272,上刀山 下油锅,7
1273,上刀山 下火海,7
1274,上分,2
1275,上刑,2
1276,上前,2
1277,上升,2
1278,上升空间,4
1279,上升趋势,4
1280,上午,2
1281,上半,2
1282,上半夜,3
1283,上半天,3
1284,上半年,3
1285,上半晌,3
1286,上半叶,3
1287,上半身,3
1288,上半部分,4
1289,上去,2
1290,上口,2
1291,上古,2
1292,上古汉语,4
1293,上台,2
1294,上司,2
1295,上合,2
1296,上合组织,4
1297,上吊,2
1298,上同调,3
1299,上吐下泻,4
1300,上周,2
1301,上呼吸道感染,6
1302,上品,2
1303,上唇,2
1304,上善若水,4
1305,上回,2
1306,上坡,2
1307,上坡段,3
1308,上坡路,3
1309,上城区,3
1310,上域,2
1311,上报,2
1312,上场,2
1313,上坟,2
1314,上外,2
1315,上夜,2
1316,上天,2
1317,上天入地,4
1318,上天无路 入地无门,9
1319,上夸克,3
1320,上好,2
1321,上学,2
1322,上官,2
1323,上家,2
1324,上将,2
1325,上将军,3
1326,上尉,2
1327,上层,2
1328,上层建筑,4
1329,上山,2
1330,上山下乡,4
1331,上岸,2
1332,上峰,2
1333,上岗,2
1334,上工,2
1335,上市,2
1336,上市公司,4
1337,上帝,2
1338,上年,2
1339,上年纪,3
1340,上床,2
1341,上座,2
1342,上座部,3
1343,上厕所,3
1344,上弦,2
1345,上弦月,3
1346,上心,2
1347,上思,2
1348,上思县,3
1349,上房,2
1350,上手,2
1351,上扬,2
1352,上扬趋势,4
1353,上文,2
1354,上新世,3
1355,上方,2
1356,上方宝剑,4
1357,上旬,2
1358,上星,2
1359,上星剧,3
1360,上星期,3
1361,上映,2
1362,上书,2
1363,上月,2
1364,上有天堂 下有苏杭,9
1365,上有政策 下有对策,9
1366,上有老下有小,6
1367,上期,2
1368,上杭,2
1369,上杭县,3
1370,上林,2
1371,上林县,3
1372,上架,2
1373,上栗,2
1374,上栗县,3
1375,上校,2
1376,上桌,2
1377,上杆,2
1378,上梁不正下梁歪,7
1379,上榜,2
1380,上梁,2
1381,上楼,2
1382,上标,2
1383,上次,2
1384,上款,2
1385,上气不接下气,6
1386,上水,2
1387,上汽,2
1388,上流,2
1389,上流社会,4
1390,上浣,2
1391,上浮,2
1392,上海,2
1393,上海交通大学,6
1394,上海合作组织,6
1395,上海外国语大学,7
1396,上海大剧院,5
1397,上海大学,4
1398,上海市,3
1399,上海戏剧学院,6
1400,上海振华港口机械,8
1401,上海文广新闻传媒集团,10
1402,上海汽车工业集团,8
1403,上海浦东发展银行,8
1404,上海环球金融中心,8
1405,上海白菜,4
1406,上海话,3
1407,上海证券交易所,7
1408,上海证券交易所综合股价指数,13
1409,上海财经大学,6
1410,上海音乐学院,6
1411,上海体育场,5
1412,上游,2
1413,上演,2
1414,上涨,2
1415,上火,2
1416,上焦,2
1417,上热搜,3
1418,上片,2
1419,上牌,2
1420,上牙膛,3
1421,上犬式,3
1422,上犹,2
1423,上犹县,3
1424,上班,2
1425,上班族,3
1426,上班时间,4
1427,上环,2
1428,上田,2
1429,上界,2
1430,上当,2
1431,上当受骗,4
1432,上疏,2
1433,上瘾,2
1434,上发条,3
1435,上皮,2
1436,上相,2
1437,上眼睑,3
1438,上眼药,3
1439,上睑,2
1440,上确界,3
1441,上税,2
1442,上空,2
1443,上空洗车,4
1444,上第,2
1445,上等,2
1446,上等兵,3
1447,上算,2
1448,上箭头,3
1449,上箭头键,4
1450,上级,2
1451,上级领导,4
1452,上纲上线,4
1453,上网,2
1454,上网本,3
1455,上紧发条,4
1456,上线,2
1457,上缴,2
1458,上声,2
1459,上肢,2
1460,上膘,2
1461,上膛,2
1462,上臂,2
1463,上脸,2
1464,上船,2
1465,上色,2
1466,上艾瑟尔,4
1467,上菜,2
1468,上菜秀,3
1469,上万,2
1470,上苍,2
1471,上蔡,2
1472,上蔡县,3
1473,上行,2
1474,上行下效,4
1475,上街,2
1476,上街区,3
1477,上衣,2
1478,上衫,2
1479,上装,2
1480,上西天,3
1481,上覆,2
1482,上访,2
1483,上诉,2
1484,上诉法院,4
1485,上课,2
1486,上调,2
1487,上谕,2
1488,上证,2
1489,上证综合指数,6
1490,上议院,3
1491,上贼船,3
1492,上路,2
1493,上身,2
1494,上车,2
1495,上轨道,3
1496,上载,2
1497,上辈,2
1498,上辈子,3
1499,上农,2
1500,上述,2
1501,上进,2
1502,上进心,3
1503,上达,2
1504,上边,2
1505,上边儿,3
1506,上部,2
1507,上都,2
1508,上野,2
1509,上钩,2
1510,上钩儿,3
1511,上锁,2
1512,上镜,2
1513,上钟,2
1514,上门,2
1515,上门客,3
1516,上门费,3
1517,上限,2
1518,上阵,2
1519,上阵杀敌,4
1520,上面,2
1521,上面级,3
1522,上鞋,2
1523,上页,2
1524,上颌,2
1525,上颌骨,3
1526,上头,2
1527,上颔,2
1528,上颚正门齿,5
1529,上风,2
1530,上馆子,3
1531,上饶,2
1532,上饶市,3
1533,上首,2
1534,上马,2
1535,上高,2
1536,上高县,3
1537,上齿,2
1538,上龙,2
1539,下 代,3
1540,下 个,3
1541,下 次,3
1542,下 步,3
1543,下 站,3
1544,下 页,3
1545,下 滥,3
1546,下 烂,3
1547,下不了台,4
1548,下不来,3
1549,下不来台,4
1550,下不为例,4
1551,下世,2
1552,下丘脑,3
1553,下 流,3
1554,下乳,2
1555,下人,2
1556,下令,2
1557,下任,2
1558,下作,2
1559,下来,2
1560,下修,2
1561,下个,2
1562,下个星期,4
1563,下个月,3
1564,下凡,2
1565,下列,2
1566,下划线,3
1567,下功夫,3
1568,下午,2
1569,下午好,3
1570,下午茶,3
1571,下半,2
1572,下半天,3
1573,下半年,3
1574,下半身,3
1575,下去,2
1576,下同,2
1577,下唇,2
1578,下单,2
1579,下回,2
1580,下地,2
1581,下坡,2
1582,下坡路,3
