,Word,lengths
477,آزمائشی,7
478,آزمائشیں,8
479,آزمائی,6
480,آزمائیش,7
481,آزمائیو,7
482,آزمائیں,7
483,آزمائیے,7
484,آزمائے,6
485,آزماتا,6
486,آزماتی,6
487,آزماتیں,7
488,آزماتے,6
489,آزمانا,6
490,آزمانی,6
491,آزمانے,6
492,آزماونا,7
493,آزمایا,6
494,آزماے,5
495,آزمند,5
496,آزمودگان,8
497,آزمودہ,6
498,آزمودہکاران,11
499,آزمودہکاروں,11
500,آزمہ,4
501,آس,2
502,آسمند,5
503,آسمندوں,7
504,آسکاٹی,6
505,آسا,3
506,آسائش,5
507,آسائشطلب,8
508,آسائشوں,7
509,آسائشی,6
510,آسائشیں,7
511,آساد,4
512,آسام,4
513,آسامی,5
514,آسامیباز,8
515,آسامیاں,7
516,آسامیوں,7
517,آسان,4
518,آسانگی,6
519,آسانگیاں,8
520,آسانی,5
521,آسانیسے,7
522,آسانیاں,7
523,آسانیت,6
524,آسانیتیں,8
525,آسانیوں,7
526,آساں,4
527,آستا,4
528,آستائی,6
529,آستائیبرن,9
530,آستائیاں,8
531,آستائیوں,8
532,آستان,5
533,آستانبوس,8
534,آستانوں,7
535,آستانہ,6
536,آستانے,6
537,آستاوا,6
538,آستاوے,6
539,آستاں,5
540,آستر,4
541,آسترے,5
542,آستک,4
543,آستکوں,6
544,آستکیں,6
545,آستھم,5
546,آستین,5
547,آستینکاکف,9
548,آستینوں,7
549,آستینیں,7
550,آستیں,5
551,آستے,4
552,آسر,3
553,آسرا,4
554,آسرم,4
555,آسرو,4
556,آسروؤ,5
557,آسروؤں,6
558,آسروں,5
559,آسرہ,4
560,آسری,4
561,آسرے,4
562,آسغہ,4
563,آسمان,5
564,آسمانجاہ,8
565,آسمانجونی,9
566,آسمانحشم,8
567,آسمانفر,7
568,آسمانگوں,8
569,آسمانوں,7
570,آسمانی,6
571,آسمانیگرد,9
572,آسماں,5
573,آسمہ,4
574,آسن,3
575,آسنپاٹی,7
576,آسنوں,5
577,آسنکا,5
578,آسنکاؤ,6
579,آسنکاؤں,7
580,آسنکائیں,8
581,آسنی,4
582,آسنیاں,6
583,آسنیں,5
584,آسوج,4
585,آسود,4
586,آسودا,5
587,آسودگان,7
588,آسودگی,6
589,آسودگیاں,8
590,آسودگیوں,8
591,آسودہ,5
592,آسودے,5
593,آسوں,4
594,آسٹروٹرف,8
595,آسٹرک,5
596,آسٹرکوں,7
597,آسٹریا,6
598,آسٹریائی,8
599,آسٹریائیوں,10
600,آسٹریلوی,8
601,آسٹریلیا,8
602,آسٹریلین,8
603,آسٹریلینوں,10
604,آسٹریکین,8
605,آسٹونیا,7
606,آسڑک,4
607,آسکا,4
608,آسکت,4
609,آسکتا,5
610,آسکتانا,7
611,آسکتی,5
612,آسکتیاں,7
613,آسکتے,5
614,آسکر,4
615,آسکی,4
616,آسکیں,5
617,آسکے,4
618,آسہ,3
619,آسہہ,4
620,آسی,3
621,آسیا,4
622,آسیاؤں,6
623,آسیائے,6
624,آسیاب,5
625,آسیانوں,7
626,آسیانہ,6
627,آسیانے,6
628,آسیب,4
629,آسیبجاں,7
630,آسیبزدوں,8
631,آسیبزدہ,7
632,آسیبوں,6
633,آسیبی,5
634,آسیبیا,6
635,آسیبیوں,7
636,آسیبیے,6
637,آسیت,4
638,آسیتی,5
639,آسیتیں,6
640,آسیر,4
641,آسیرات,6
642,آسیری,5
643,آسیریات,7
644,آسیریں,6
645,آسیموں,6
646,آسیمہ,5
647,آسیو,4
648,آسیوں,5
649,آسیں,4
650,آسیہ,4
651,آسے,3
652,آش,2
653,آشبلاؤ,6
654,آشبلائے,7
655,آشجو,4
656,آشپز,4
657,آشا,3
658,آشاؤ,4
659,آشاؤں,5
660,آشائیں,6
661,آشام,4
662,آشاموں,6
663,آشامی,5
664,آشب,3
665,آشبہ,4
666,آشتاوہ,6
667,آشتی,4
668,آشتیاں,6
669,آشتیوں,6
670,آشرا,4
671,آشرباد,6
672,آشرم,4
673,آشرموں,6
674,آشرہ,4
675,آشری,4
676,آشریاں,6
677,آشریوں,6
678,آشرے,4
679,آشفتگان,7
680,آشفتگاں,7
681,آشفتگی,6
682,آشفتگیاں,8
683,آشفتگیوں,8
684,آشفتہ,5
685,آشفتہبیاں,9
686,آشفتہمو,7
687,آشفتہنوا,8
688,آشفتہنواؤں,10
689,آشمال,5
690,آشمالی,6
691,آشنا,4
692,آشنارو,6
693,آشنازدہ,7
694,آشناؤں,6
695,آشنائی,6
696,آشنائیاں,8
697,آشنائیوں,8
698,آشنائیں,7
699,آشنان,5
700,آشناو,5
701,آشناور,6
702,آشوب,4
703,آشوبزا,6
704,آشوبگاہ,7
705,آشوبوں,6
706,آشوبی,5
707,آشوبیت,6
708,آشوبیتوں,8
709,آشوبیتیں,8
710,آشوبیوں,7
711,آشور,4
712,آشوری,5
713,آشوریات,7
714,آشون,4
715,آشچرج,5
716,آشکار,5
717,آشکارا,6
718,آشکارائی,8
719,آشکارائیاں,10
720,آشکاروں,7
721,آشکارہ,6
722,آشکاری,6
723,آشکاریاں,8
724,آشکاریوں,8
725,آشیا,4
726,آشیائی,6
727,آشیان,5
728,آشیانوں,7
729,آشیانہ,6
730,آشیانی,6
731,آشیانیاں,8
732,آشیانیوں,8
733,آشیانے,6
734,آشیاں,5
735,آشیرباد,7
736,آشیربچن,7
737,آشیرواد,7
738,آصال,4
739,آصف,3
740,آصفہ,4
741,آصفی,4
742,آصفیہ,5
743,آغا,3
744,آغاؤں,5
745,آغاز,4
746,آغازوں,6
747,آغال,4
748,آغالیں,6
749,آغامینا,7
750,آغانی,5
751,آغر,3
752,آغشتوں,6
753,آغشتگان,7
754,آغشتہ,5
755,آغل,3
756,آغوش,4
757,آغوشکشادہ,9
758,آغوشوں,6
759,آغوشی,5
760,آغوشیوں,7
761,آغوشیں,6
762,آغوں,4
763,آف,2
764,آفات,4
765,آفاق,4
766,آفاقگرد,7
767,آفاقی,5
768,آفاقیت,6
769,آفاقیتیں,8
770,آفت,3
771,آفتزدہ,6
772,آفتپذیر,7
773,آفتاب,5
774,آفتاببام,8
775,آفتابرذہ,8
776,آفتابزدہ,8
777,آفتابگیری,9
778,آفتابستان,9
779,آفتابو,6
780,آفتابوں,7
781,آفتابچی,7
782,آفتابچیاں,9
783,آفتابچیوں,9
784,آفتابہ,6
785,آفتابی,6
786,آفتابیاں,8
787,آفتابیوں,8
788,آفتابے,6
789,آفتاوا,6
790,آفتاوے,6
791,آفتو,4
792,آفتوں,5
793,آفتی,4
794,آفتیوں,6
795,آفتیں,5
796,آفتیے,5
797,آفدہ,4
798,آفذ,3
799,آفر,3
800,آفرز,4
801,آفروزہ,6
802,آفروں,5
803,آفری,4
804,آفریدوں,7
805,آفریدگار,8
806,آفریدگاروں,10
807,آفریدگاری,9
808,آفریدگاریاں,11
809,آفریدگان,8
810,آفریدہ,6
811,آفریدی,6
812,آفریدیو,7
813,آفریدیوں,8
814,آفرین,5
815,آفرینآفرین,10
816,آفرینہے,7
817,آفرینش,6
818,آفرینندوں,9
819,آفرینندگان,10
820,آفرینندہ,8
821,آفرینندہآفرینی,14
822,آفرینوں,7
823,آفرینی,6
824,آفرینیں,7
825,آفریں,5
826,آفس,3
827,آفسز,4
828,آفسوں,5
829,آفسٹ,4
830,آفل,3
831,آفندی,5
832,آفوس,4
833,آفیت,4
834,آفیسر,5
835,آفیسرز,6
836,آفیشل,5
837,آفیشلز,6
838,آفیں,4
839,آقا,3
840,آقاؤں,5
841,آقائی,5
842,آقائیاں,7
843,آقائیت,6
844,آقائیتوں,8
845,آقائیتیں,8
846,آقائیوں,7
847,آقائے,5
848,آقائےخانہ,9
849,آقاسی,5
850,آقتدبیگی,8
851,آل,2
852,آلاطہار,7
853,آلاولاد,7
854,آلبندی,6
855,آلجنجال,7
856,آلرسول,6
857,آلعبا,5
858,آلعمران,7
859,آلفاطمہ,7
860,آلواطفال,8
861,آلوعیال,7
862,آلپاک,5
863,آلپیغمبر,8
864,آلیسین,6
865,آلا,3
866,آلااودل,7
867,آلااودھوں,9
868,آلائش,5
869,آلائشوں,7
870,آلائشی,6
871,آلائشیں,7
872,آلابالا,7
873,آلات,4
874,آلاتی,5
875,آلاراسی,7
876,آلاراسیاں,9
877,آلام,4
878,آلان,4
879,آلانوں,6
880,آلاپ,4
881,آلاپا,5
882,آلاپتا,6
883,آلاپتی,6
884,آلاپتیں,7
885,آلاپتے,6
886,آلاپنا,6
887,آلاپنی,6
888,آلاپنے,6
889,آلاپی,5
890,آلاپیں,6
891,آلاپیے,6
892,آلاپے,5
893,آلایش,5
894,آلب,3
895,آلت,3
896,آلتا,4
897,آلتمغا,6
898,آلدہ,4
899,آلس,3
900,آلسی,4
901,آلسیا,5
902,آلسیوں,6
903,آلغہ,4
904,آلف,3
905,آلفتگان,7
906,آلفتگی,6
907,آلفتگیاں,8
908,آلفتہ,5
909,آلفہ,4
910,آلن,3
911,آلنگ,4
912,آلنگن,5
913,آلنگی,5
914,آلو,3
915,آلوباو,6
916,آلوبخارا,8
917,آلوبخاروں,9
918,آلوبخارے,8
919,آلوشفتالو,9
920,آلوکابھونرا,11
921,آلوؤ,4
922,آلوؤں,5
923,آلود,4
924,آلودگی,6
925,آلودگیاں,8
926,آلودگیوں,8
927,آلودہ,5
928,آلودہدامن,9
929,آلودہدنیا,9
930,آلودہمعصیت,10
931,آلودہناک,8
932,آلودہءمعصیت,11
933,آلودۂدنیا,9
934,آلودۂگناہ,9
935,آلوچہ,5
936,آلوچے,5
937,آلوں,4
938,آلٹ,3
939,آلٹر,4
940,آلپن,4
941,آلپنیں,6
942,آلکس,4
943,آلکسوں,6
944,آلکسی,5
945,آلکسیا,6
946,آلکسیوں,7
947,آلکسیں,6
948,آلہ,3
949,آلہجارح,7
950,آلہحافضاللسان,13
951,آلہحجامت,8
952,آلہحجم,6
953,آلہحرب,6
954,آلہحصار,7
955,آلہخوننما,9
956,آلہدورنویس,10
957,آلہرصد,6
958,آلہسدس,6
959,آلہسماعت,8
960,آلہمانع,7
961,آلہمردی,7
962,آلہمکبرالصوت,12
963,آلہکار,6
964,آلہکشیدہ,8
965,آلہءجر,6
966,آلہءخوننما,10
967,آلہءرصد,7
968,آلہءسدس,7
969,آلہءسماعت,9
970,آلہءضبطرفتار,12
971,آلہءمانع,8
972,آلہءمہلک,8
973,آلہءکار,7
974,آلہءکشید,8
975,آلہات,5
976,آلہانہ,6
977,آلۂاجرائیہ,10
978,آلۂباصرہ,8
979,آلۂبرقکش,8
980,آلۂترشیح,8
981,آلۂجارح,7
982,آلۂجہاد,7
983,آلۂحجامت,8
984,آلۂحرب,6
985,آلۂحصار,7
986,آلۂسماعت,8
987,آلۂمکبرالصوت,12
988,آلۂکار,6
989,آلۂکاروں,8
990,آلۂحجم,6
991,آلی,3
992,آلیاں,5
993,آلیت,4
994,آلین,4
995,آلیوں,5
996,آلیہ,4
997,آلے,3
998,آم,2
999,آمگھاس,6
1000,آماج,4
1001,آماجگاہ,7
1002,آماجگاہوں,9
1003,آماجگاہیں,9
1004,آماجوں,6
1005,آمادگان,7
1006,آمادگی,6
1007,آمادگیاں,8
1008,آمادگیوں,8
1009,آمادہ,5
1010,آمادہءکار,9
1011,آماس,4
1012,آماسیدہ,7
1013,آمال,4
1014,آمان,4
1015,آمد,3
1016,آمدآمد,6
1017,آمدنامہ,7
1018,آمدورفت,7
1019,آمدوشد,6
1020,آمدہونےوالا,11
1021,آمدن,4
1022,آمدنی,5
1023,آمدنیاں,7
1024,آمدنیوں,7
1025,آمدوخرچ,7
1026,آمدہ,4
1027,آمدیا,5
1028,آمدید,5
1029,آمدیوں,6
1030,آمدیں,5
1031,آمر,3
1032,آمرانہ,6
1033,آمرزش,5
1034,آمرزگا,6
1035,آمرزگار,7
1036,آمرزگاران,9
1037,آمرزگاروں,9
1038,آمرزگاری,8
1039,آمرزگاہ,7
1040,آمروں,5
1041,آمری,4
1042,آمریت,5
1043,آمریتوں,7
1044,آمریتیں,7
1045,آمرین,5
1046,آمغہ,4
1047,آمل,3
1048,آملوں,5
1049,آملک,4
1050,آملکا,5
1051,آملکاؤ,6
1052,آملکاؤں,7
1053,آملکہ,5
1054,آملہ,4
1055,آملی,4
1056,آملیٹ,5
1057,آملیٹوں,7
1058,آملے,4
1059,آمن,3
1060,آمنآمن,6
1061,آمندھان,7
1062,آمنا,4
1063,آمناسامنا,9
1064,آمناوصدقنا,10
1065,آمنوں,5
1066,آمنہ,4
1067,آمنی,4
1068,آمنیں,5
1069,آمنے,4
1070,آمنےسامنے,9
1071,آموخت,5
1072,آموختوں,7
1073,آموختہ,6
1074,آموختے,6
1075,آموز,4
1076,آموزش,5
1077,آموزشگاہ,8
1078,آموزشیں,7
1079,آموزناک,7
1080,آموزناکہ,8
1081,آموزناکی,8
1082,آموزناکیاں,10
1083,آموزگار,7
1084,آموزگاران,9
1085,آموزگاروں,9
1086,آموزگاری,8
1087,آموزگاریاں,10
1088,آموزہ,5
1089,آموزی,5
1090,آمون,4
1091,آموں,4
1092,آمیختوں,7
1093,آمیختگی,7
1094,آمیختہ,6
1095,آمیختے,6
1096,آمیز,4
1097,آمیزآمیز,8
1098,آمیزگار,7
1099,آمیزش,5
1100,آمیزشپذیر,9
1101,آمیزشکرنا,9
1102,آمیزشوں,7
1103,آمیزشیں,7
1104,آمیزوں,6
1105,آمیزہ,5
1106,آمیزہآمیزی,10
1107,آمیزی,5
1108,آمیزیاں,7
1109,آمیزے,5
1110,آمین,4
1111,آمینآمین,8
1112,آمیناللہ,8
1113,آمینبالجہر,10
1114,آمینبالسر,9
1115,آمینکہنا,8
1116,آمینوں,6
1117,آمینیں,6
1118,آن,2
1119,آنبان,5
1120,آنجہانی,7
1121,آنحضرت,6
1122,آنسیال,6
1123,آنواحدمیں,9
1124,آنکامہمان,9
1125,آنکیآن,6
1126,آنکیآنمیں,9
1127,آنؤ,3
1128,آنا,3
1129,آناجانا,7
1130,آنافانا,7
1131,آنافانامیں,10
1132,آناپائیسے,9
1133,آنات,4
1134,آنار,4
1135,آناکانی,7
1136,آنب,3
1137,آنبی,4
1138,آنت,3
1139,آنتوں,5
1140,آنتڑی,5
1141,آنتڑیاں,7
1142,آنتیں,5
1143,آنتیہ,5
1144,آنثر,4
1145,آنثہ,4
1146,آنجن,4
1147,آنجنا,5
1148,آنجناب,6
1149,آنجنی,5
1150,آنجنیاں,7
1151,آنجھو,5
1152,آنجھوؤ,6
1153,آنجھوؤں,7
1154,آنحضور,6
1155,آند,3
1156,آندد,4
1157,آندریا,6
1158,آندرے,5
1159,آندو,4
1160,آندوؤ,5
1161,آندوؤں,6
1162,آندھ,4
1163,آندھاساجھا,10
1164,آندھر,5
1165,آندھرا,6
1166,آندھریں,7
1167,آندھوں,6
1168,آندھی,5
1169,آندھیدھاندی,11
1170,آندھیروگ,8
1171,آندھیکےآم,9
1172,آندھیاں,7
1173,آندھیوں,7
1174,آندھیں,6
1175,آندہ,4
1176,آنر,3
1177,آنرایبل,7
1178,آنرت,4
1179,آنرز,4
1180,آنروں,5
1181,آنریبل,6
1182,آنریبلز,7
1183,آنریری,6
1184,آنریریسیکرٹری,13
1185,آنریریمجسٹریٹ,13
1186,آنسو,4
1187,آنسوتوڑ,7
1188,آنسوڈھال,8
1189,آنسوؤ,5
1190,آنسوؤں,6
1191,آنسٹ,4
1192,آنسٹس,5
1193,آنسہ,4
1194,آنق,3
1195,آنقہ,4
1196,آنلائن,6
1197,آنند,4
1198,آنندوں,6
1199,آنندگی,6
1200,آنندگیاں,8
1201,آنندہ,5
1202,آنندی,5
1203,آنندیاں,7
1204,آنندیوں,7
1205,آنندیں,6
1206,آنو,3
1207,آنول,4
1208,آنولا,5
1209,آنولوں,6
1210,آنولہ,5
1211,آنولی,5
1212,آنولیں,6
1213,آنولے,5
1214,آنون,4
1215,آنوں,4
1216,آنٹ,3
1217,آنٹسانٹ,7
1218,آنٹا,4
1219,آنٹوں,5
1220,آنٹھی,5
1221,آنٹھیاں,7
1222,آنٹھیوں,7
1223,آنٹی,4
1224,آنٹیاں,6
1225,آنٹیوں,6
1226,آنٹیں,5
1227,آنچ,3
1228,آنچکیکسر,8
1229,آنچل,4
1230,آنچلدار,7
1231,آنچلپلو,7
1232,آنچلڈلوائی,10
1233,آنچلگانٹھ,9
1234,آنچلوں,6
1235,آنچو,4
1236,آنچوؤ,5
1237,آنچوؤں,6
1238,آنچوں,5
1239,آنچیں,5
1240,آنڈ,3
1241,آنڈو,4
1242,آنڈوبیل,7
1243,آنڈوؤ,5
1244,آنڈوؤں,6
1245,آنڈوں,5
1246,آنڈی,4
1247,آنڈیاں,6
1248,آنڈے,4
1249,آنڑ,3
1250,آنڑی,4
1251,آنڑیاں,6
1252,آنک,3
1253,آنکلگنا,7
1254,آنکا,4
1255,آنکاؤ,5
1256,آنکائیت,7
1257,آنکس,4
1258,آنکل,4
1259,آنکلی,5
1260,آنکوں,5
1261,آنکڑا,5
1262,آنکڑی,5
1263,آنکڑیاں,7
1264,آنکھ,4
1265,آنکھاوجھل,9
1266,آنکھاوڑ,7
1267,آنکھبدلنا,9
1268,آنکھبچاکر,9
1269,آنکھتلے,7
1270,آنکھجھپکنا,10
1271,آنکھسفیدی,9
1272,آنکھسےبچکر,10
1273,آنکھلگائی,9
1274,آنکھملاکر,9
1275,آنکھمندی,8
1276,آنکھموندکر,10
1277,آنکھمچول,8
1278,آنکھمچولی,9
1279,آنکھمیچکر,9
1280,آنکھمیں,7
1281,آنکھوالا,8
1282,آنکھچراکر,9
1283,آنکھڈورا,8
1284,آنکھکااجالا,11
1285,آنکھکااندھا,11
1286,آنکھکاتارا,10
1287,آنکھکاتل,8
1288,آنکھکاجالا,10
