Word,lengths
آباو_اجداد,10
آبتین,5
آبدار,5
آبداری,6
آبرو,4
آبرو_باختہ,10
آبرو_دار,8
آبرو_ریختہ,10
آبرو_ریزی,9
آبرو_فروش,9
آبرو_مند,8
آبرو_مندانہ,11
آبرو_مندی,9
آبرو_پسند,9
آبرو_کا_پاس,11
آبروؤ,5
آبروؤں,6
آبروئی,6
آبروئیں,7
آبروئے,6
آبرہ,4
آبس,3
آبستن,5
آبستنی,6
آبستنیاں,8
آبستگی,6
آبستہ,5
آبشار,5
آبص,3
آبلا,4
آبلوس,5
آبلوچ,5
آبلوں,5
آبلہ,4
آبلہ_دار,8
آبلہ_فرسا,9
آبلہ_فرنگ,9
آبلہ_پا,7
آبلہء_فرنگ,10
آبلۂ,4
آبلے,4
آبنوس,5
آبنوسوں,7
آبنوسی,6
آبنوش,5
آبپاری,6
آبپاریاں,8
آبپاشی,6
آبگینوں,7
آبگینہ,6
آبگینے,6
آبی,3
آبی_برج,7
آبی_بروج,8
آبی_بگولا,9
آبی_رسد,7
آبی_سان,7
آبیات,5
آبیاتی,6
آبیار,5
آبیاری,6
آبیانہ,6
آبیدہ,5
آبیل,4
آبیلوں,6
آتا,3
آتش,3
آتش_آمیز,8
آتش_افراز,9
آتش_افروز,9
آتش_افسردہ,10
آتش_انفعال,10
آتش_انگیز,9
آتش_انگیزوں,11
آتش_بار,7
آتش_باز,7
آتش_بازوں,9
آدھ_پا,6
آدھ_پاؤ,7
آدھ_پون,7
آدھا,4
آدھا_دانہ,9
آدھار,5
آدھاکرنا,8
آدھو,4
آدھوں,5
آدھی,4
آدھی_نگاہ,9
آدھیاں,6
آدھین,5
آدھینہ,6
آدھیو,5
آدھیوں,6
آدھیں,5
آدھے,4
آدیش,4
آدینہ,5
آذار,4
آذاری,5
آذر,3
آذری,4
آذریوں,6
آذوقہ,5
آذین,4
آذینہ,5
آر,2
آرا,3
آراء,4
آرائش,5
آرائش_پسند,10
آرائشوں,7
آرائشی,6
آرائشیں,7
آرائندوں,8
آرائندہ,7
آرائندے,7
آرائی,5
آرائیاں,7
آرائیوں,7
آرار,4
آرارا,5
آراستگی,7
آراستہ,6
آراستہ_و_پیراستہ,16
آراض,4
آراضی,5
آراضیاں,7
آراضین,6
آرام,4
آرام_بخش,8
آرام_جاں,8
آرام_دان,8
آرام_دہ,7
آرام_رساں,9
آرام_والی,9
آرام_پائی,9
آرام_پال,8
آرام_گاہ,8
آرام_گوش,8
آرام_گیر,8
آرامش,5
آراموں,6
آرامی,5
آرامیدہ,7
آراکش,5
آرایش,5
آرب,3
آربل,4
آربہ,4
آرتھر,5
آرتھی,5
آرتی,4
آرتیاں,6
آرتیوں,6
آرج,3
آردر,4
آردشیر,6
آردین,5
آرزم,4
آرزو,4
آرزو_کش,7
آرزوؤ,5
آرزوؤں,6
آرزوئیں,7
آرزوئے,6
آرس,3
آرسہ,4
آرسی,4
آرسی_مصحف,9
آرسیاں,6
آرسینک,6
آرسیوں,6
آرلین,5
آرمڈ,4
آرمی,4
آرمیدگان,8
آرمیدگی,7
آرمیدگیاں,9
آرمیدگیوں,9
آرمیدہ,6
آرمینیا,7
آرمیڈا,6
آرن,3
آرندگان,7
آرندہ,5
آرنلڈ,5
آروغ,4
آرولہ,5
آروں,4
آروین,5
آرٹ,3
آرٹس,4
آرٹسٹ,5
آرٹسٹس,6
آرٹسٹوں,7
آرٹسٹک,6
آرٹوں,5
آرٹکل,5
آرٹیکل,6
آرٹیکلز,7
آرٹیکلوں,8
آرپار,5
آرپن,4
آرچ,3
آرڈر,4
آرڈرز,5
آرڈروں,6
آرڈنری,6
آرڈیننس,7
آرڈیننسز,8
آرڈیننسوں,9
آرک_لیمپآرک,11
آرکسٹرا,7
آرکسٹراز,8
آرکسٹروں,8
آرکی,4
آرکی_ٹیکٹ,9
آرکی_ٹیکٹس,10
آرکی_ٹیکٹوں,11
آرکیالوجسٹ,10
آرکیالوجسٹس,11
آرکیالوجسٹوں,12
آرکیالوجی,9
آرکیالوجیکل,11
آرکین,5
آرکیڈ,5
آرگ,3
آرگن,4
آرگنائزیشن,10
آرگنائزیشنز,11
آرگنائزیشنوں,12
آرگنائزیشنیں,12
آرگنائیزر,9
آرگنائیزرز,10
آرگنائیزروں,11
آرگنائیزیشن,11
آرہ,3
آرہ_نما,7
آرہا,4
آرہی,4
آرہے,4
آری,3
آریا,4
آریاؤ,5
آریاؤں,6
آریائی,6
آریاوی,6
آریاں,5
آریز,4
آریلہ,5
آریوں,5
آریں,4
آریہ,4
آریہ_ورت,8
آرے,3
آز,2
آزاد,4
آزاد_رو,7
آزاد_طبع,8
آزاد_منش,8
آزاد_وار,8
آزاد_وضع,8
آزادانہ,7
آزادنامہ,8
آزادوں,6
آزادکشمیر,9
آزادگان,7
آزادگی,6
آزادگیاں,8
آزادہ,5
آزادہ_رو,8
آزادی,5
آزادی_نامہ,10
آزادیاں,7
آزادیوں,7
آزار,4
آزار_دہ,7
آزار_دہندہ,10
آزاردہ,6
آزاروں,6
آزاری,5
آزاریاں,7
آزاریوں,7
آزاریں,6
آزالہ,5
آزبن,4
آزبک,4
آزر,3
آزربائیجان,10
آزردگان,7
آزردگاں,7
آزردگی,6
آزردگیاں,8
آزردگیوں,8
آزردہ,5
آزرم,4
آزرمیں,6
آزری,4
آزف,3
آزفہ,4
آزلہ,4
آزما,4
آزماؤ,5
آزماؤں,6
آزمائش,6
آزمائشو,7
آزمائشوں,8
آزمائشی,7
آزمائشیں,8
آزمائی,6
آزمائیش,7
آزمائیو,7
آزمائیں,7
آزمائیے,7
آزمائے,6
آزماتا,6
آزماتی,6
آزماتیں,7
آزماتے,6
آزمانا,6
آزمانی,6
آزمانے,6
آزماونا,7
آزمایا,6
آزماے,5
آزمند,5
آزمودگان,8
آزمودہ,6
آزمودہ_کاران,12
آزمودہ_کاروں,12
آزمہ,4
آس,2
آس_مند,6
آس_مندوں,8
آس_کاٹی,7
آسا,3
آسائش,5
آسائش_طلب,9
آسائشوں,7
آسائشی,6
آسائشیں,7
آساد,4
آسام,4
آسامی,5
آسامی_باز,9
آسامیاں,7
آسامیوں,7
آسان,4
آسانگی,6
آسانگیاں,8
آسانی,5
آسانی_سے,8
آسانیاں,7
آسانیت,6
آسانیتیں,8
آسانیوں,7
آساں,4
آستا,4
آستائی,6
آستائی_برن,10
آستائیاں,8
آستائیوں,8
آستان,5
آستان_بوس,9
آستانوں,7
آستانہ,6
آستانے,6
آستاوا,6
آستاوے,6
آستاں,5
آستر,4
آسترے,5
آستک,4
آستکوں,6
آستکیں,6
آستھم,5
آستین,5
آستین_کاکف,10
آستینوں,7
آستینیں,7
آستیں,5
آستے,4
آسر,3
آسرا,4
آسرم,4
آسرو,4
آسروؤ,5
آسروؤں,6
آسروں,5
آسرہ,4
آسری,4
آسرے,4
آسغہ,4
آسمان,5
آسمان_جاہ,9
آسمان_جونی,10
آسمان_حشم,9
آسمان_فر,8
آسمان_گوں,9
آسمانوں,7
آسمانی,6
آسمانی_گرد,10
آسماں,5
آسمہ,4
آسن,3
آسن_پاٹی,8
آسنوں,5
آسنکا,5
آسنکاؤ,6
آسنکاؤں,7
آسنکائیں,8
آسنی,4
آسنیاں,6
آسنیں,5
آسوج,4
آسود,4
آسودا,5
آسودگان,7
آسودگی,6
آسودگیاں,8
آسودگیوں,8
آسودہ,5
آسودے,5
آسوں,4
آسٹروٹرف,8
آسٹرک,5
آسٹرکوں,7
آسٹریا,6
آسٹریائی,8
آسٹریائیوں,10
آسٹریلوی,8
آسٹریلیا,8
آسٹریلین,8
آسٹریلینوں,10
آسٹریکین,8
آسٹونیا,7
آسڑک,4
آسکا,4
آسکت,4
آسکتا,5
آسکتانا,7
آسکتی,5
آسکتیاں,7
آسکتے,5
آسکر,4
آسکی,4
آسکیں,5
آسکے,4
آسہ,3
آسہہ,4
آسی,3
آسیا,4
آسیاؤں,6
آسیائے,6
آسیاب,5
آسیانوں,7
آسیانہ,6
آسیانے,6
آسیب,4
آسیب_جاں,8
آسیب_زدوں,9
آسیب_زدہ,8
آسیبوں,6
آسیبی,5
آسیبیا,6
آسیبیوں,7
آسیبیے,6
آسیت,4
آسیتی,5
آسیتیں,6
آسیر,4
آسیرات,6
آسیری,5
آسیریات,7
آسیریں,6
آسیموں,6
آسیمہ,5
آسیو,4
آسیوں,5
آسیں,4
آسیہ,4
آسے,3
آش,2
آش_بلاؤ,7
آش_بلائے,8
آش_جو,5
آش_پز,5
آشا,3
آشاؤ,4
آشاؤں,5
آشائیں,6
آشام,4
آشاموں,6
آشامی,5
آشب,3
آشبہ,4
آشتاوہ,6
آشتی,4
آشتیاں,6
آشتیوں,6
آشرا,4
آشرباد,6
آشرم,4
آشرموں,6
آشرہ,4
آشری,4
آشریاں,6
آشریوں,6
آشرے,4
آشفتگان,7
آشفتگاں,7
آشفتگی,6
آشفتگیاں,8
آشفتگیوں,8
آشفتہ,5
آشفتہ_بیاں,10
آشفتہ_مو,8
آشفتہ_نوا,9
آشفتہ_نواؤں,11
آشمال,5
آشمالی,6
آشنا,4
آشنا_رو,7
آشنا_زدہ,8
آشناؤں,6
آشنائی,6
آشنائیاں,8
آشنائیوں,8
آشنائیں,7
آشنان,5
آشناو,5
آشناور,6
آشوب,4
آشوب_زا,7
آشوب_گاہ,8
آشوبوں,6
آشوبی,5
آشوبیت,6
آشوبیتوں,8
آشوبیتیں,8
آشوبیوں,7
آشور,4
آشوری,5
آشوریات,7
آشون,4
آشچرج,5
آشکار,5
آشکارا,6
آشکارائی,8
آشکارائیاں,10
آشکاروں,7
آشکارہ,6
آشکاری,6
آشکاریاں,8
آشکاریوں,8
آشیا,4
آشیائی,6
آشیان,5
آشیانوں,7
آشیانہ,6
آشیانی,6
آشیانیاں,8
آشیانیوں,8
آشیانے,6
آشیاں,5
آشیرباد,7
آشیربچن,7
آشیرواد,7
آصال,4
آصف,3
آصفہ,4
آصفی,4
آصفیہ,5
آغا,3
آغاؤں,5
آغاز,4
آغازوں,6
آغال,4
آغالیں,6
آغامینا,7
آغانی,5
آغر,3
آغشتوں,6
آغشتگان,7
آغشتہ,5
آغل,3
آغوش,4
آغوش_کشادہ,10
آغوشوں,6
آغوشی,5
آغوشیوں,7
آغوشیں,6
آغوں,4
آف,2
آفات,4
آفاق,4
آفاق_گرد,8
آفاقی,5
آفاقیت,6
آفاقیتیں,8
آفت,3
آفت_زدہ,7
آفت_پذیر,8
آفتاب,5
آفتاب_بام,9
آفتاب_رذہ,9
آفتاب_زدہ,9
آفتاب_گیری,10
آفتابستان,9
آفتابو,6
آفتابوں,7
آفتابچی,7
آفتابچیاں,9
آفتابچیوں,9
آفتابہ,6
آفتابی,6
آفتابیاں,8
آفتابیوں,8
آفتابے,6
آفتاوا,6
آفتاوے,6
آفتو,4
آفتوں,5
آفتی,4
آفتیوں,6
آفتیں,5
آفتیے,5
آفدہ,4
آفذ,3
آفر,3
آفرز,4
آفروزہ,6
آفروں,5
آفری,4
آفریدوں,7
آفریدگار,8
آفریدگاروں,10
آفریدگاری,9
آفریدگاریاں,11
آفریدگان,8
آفریدہ,6
آفریدی,6
آفریدیو,7
آفریدیوں,8
آفرین,5
آفرین_آفرین,11
آفرین_ہے,8
آفرینش,6
آفرینندوں,9
آفرینندگان,10
آفرینندہ,8
آفرینندہ_آفرینی,15
آفرینوں,7
آفرینی,6
آفرینیں,7
آفریں,5
آفس,3
آفسز,4
آفسوں,5
آفسٹ,4
آفل,3
آفندی,5
آفوس,4
آفیت,4
آفیسر,5
آفیسرز,6
آفیشل,5
آفیشلز,6
آفیں,4
آقا,3
آقاؤں,5
آقائی,5
آقائیاں,7
آقائیت,6
آقائیتوں,8
آقائیتیں,8
آقائیوں,7
آقائے,5
آقائے_خانہ,10
آقاسی,5
آقتدبیگی,8
آل,2
آل_اطہار,8
آل_اولاد,8
آل_بندی,7
آل_جنجال,8
آل_رسول,7
آل_عبا,6
آل_عمران,8
آل_فاطمہ,8
آل_و_اطفال,10
آل_و_عیال,9
آل_پاک,6
آل_پیغمبر,9
آل_یسین,7
آلا,3
آلا_اودل,8
آلا_اودھوں,10
آلائش,5
آلائشوں,7
آلائشی,6
آلائشیں,7
آلابالا,7
آلات,4
آلاتی,5
آلاراسی,7
آلاراسیاں,9
آلام,4
آلان,4
آلانوں,6
آلاپ,4
آلاپا,5
آلاپتا,6
آلاپتی,6
آلاپتیں,7
آلاپتے,6
آلاپنا,6
آلاپنی,6
آلاپنے,6
آلاپی,5
آلاپیں,6
آلاپیے,6
آلاپے,5
آلایش,5
آلب,3
آلت,3
آلتا,4
آلتمغا,6
آلدہ,4
آلس,3
آلسی,4
آلسیا,5
آلسیوں,6
آلغہ,4
آلف,3
آلفتگان,7
آلفتگی,6
آلفتگیاں,8
آلفتہ,5
آلفہ,4
آلن,3
آلنگ,4
آلنگن,5
آلنگی,5
آلو,3
آلو_باو,7
آلو_بخارا,9
آلو_بخاروں,10
آلو_بخارے,9
آلو_شفتالو,10
آلو_کا_بھونرا,13
آلوؤ,4
آلوؤں,5
آلوبخارا,8
آلوبخاروں,9
آلوبخارے,8
آلود,4
آلودگی,6
آلودگیاں,8
آلودگیوں,8
آلودہ,5
آلودہ_دامن,10
آلودہ_دنیا,10
آلودہ_معصیت,11
آلودہ_ناک,9
آلودہء_معصیت,12
آلودۂ_دنیا,10
آلودۂ_گناہ,10
آلوچہ,5
آلوچے,5
آلوں,4
آلٹ,3
آلٹر,4
آلپن,4
آلپنیں,6
آلکس,4
آلکسوں,6
آلکسی,5
آلکسیا,6
آلکسیوں,7
آلکسیں,6
آلہ,3
آلہ_جارح,8
آلہ_حافض_اللسان,15
آلہ_حجامت,9
آلہ_حجم,7
آلہ_حرب,7
آلہ_حصار,8
آلہ_خون_نما,11
آلہ_دور_نویس,12
آلہ_رصد,7
آلہ_سدس,7
آلہ_سماعت,9
آلہ_مانع,8
آلہ_مردی,8
آلہ_مکبرالصوت,13
آلہ_کار,7
آلہ_کشیدہ,9
آلہء_جر,7
آلہء_خون_نما,12
آلہء_رصد,8
آلہء_سدس,8
آلہء_سماعت,10
آلہء_ضبط_رفتار,14
آلہء_مانع,9
آلہء_مہلک,9
آلہء_کار,8
آلہء_کشید,9
آلہات,5
آلہانہ,6
آلۂ_اجرائیہ,11
آلۂ_باصرہ,9
آلۂ_برق_کش,10
آلۂ_ترشیح,9
آلۂ_جارح,8
آلۂ_جہاد,8
آلۂ_حجامت,9
آلۂ_حرب,7
آلۂ_حصار,8
آلۂ_سماعت,9
آلۂ_مکبر_الصوت,14
آلۂ_کار,7
آلۂ_کاروں,9
آلۂحجم,6
آلی,3
آلیاں,5
آلیت,4
آلین,4
آلیوں,5
آلیہ,4
آلے,3
آم,2
آم_گھاس,7
آماج,4
آماج_گاہ,8
آماج_گاہوں,10
آماج_گاہیں,10
آماجوں,6
آماجگاہ,7
آماجگاہیں,9
آمادگان,7
آمادگی,6
آمادگیاں,8
آمادگیوں,8
آمادہ,5
آمادہء_کار,10
آماس,4
آماسیدہ,7
آمال,4
آمان,4
آمد,3
آمد_آمد,7
آمد_نامہ,8
آمد_و_رفت,9
آمد_و_شد,8
آمد_ہونے_والا,13
آمدن,4
آمدنی,5
آمدنیاں,7
آمدنیوں,7
آمدو_خرچ,8
آمدورفت,7
آمدہ,4
آمدیا,5
آمدید,5
آمدیوں,6
آمدیں,5
آمر,3
آمرانہ,6
آمرزش,5
آمرزگا,6
آمرزگار,7
آمرزگاران,9
آمرزگاروں,9
آمرزگاری,8
آمرزگاہ,7
آمروں,5
آمری,4
آمریت,5
آمریتوں,7
آمریتیں,7
آمرین,5
آمغہ,4
آمل,3
آملوں,5
آملک,4
آملکا,5
آملکاؤ,6
آملکاؤں,7
آملکہ,5
آملہ,4
آملی,4
آملیٹ,5
آملیٹوں,7
آملے,4
آمن,3
آمن_آمن,7
آمن_دھان,8
آمنا,4
آمنا_سامنا,10
آمنا_و_صدقنا,12
آمنوں,5
آمنہ,4
آمنی,4
آمنیں,5
آمنے,4
آمنے_سامنے,10
آموخت,5
آموختوں,7
آموختہ,6
آموختے,6
آموز,4
آموزش,5
آموزش_گاہ,9
آموزشیں,7
آموزناک,7
آموزناکہ,8
آموزناکی,8
آموزناکیاں,10
آموزگار,7
آموزگاران,9
آموزگاروں,9
آموزگاری,8
آموزگاریاں,10
آموزہ,5
آموزی,5
آمون,4
آموں,4
آمیختوں,7
آمیختگی,7
آمیختہ,6
آمیختے,6
آمیز,4
آمیز_آمیز,9
آمیز_گار,8
آمیزش,5
آمیزش_پذیر,10
آمیزش_کرنا,10
آمیزشوں,7
آمیزشیں,7
آمیزوں,6
آمیزگار,7
آمیزہ,5
آمیزہ_آمیزی,11
آمیزی,5
آمیزیاں,7
آمیزے,5
آمین,4
آمین_آمین,9
آمین_اللہ,9
آمین_بالجہر,11
آمین_بالسر,10
آمین_کہنا,9
آمینوں,6
آمینیں,6
آن,2
آن_بان,6
آن_جہانی,8
آن_حضرت,7
آن_سیال,7
آن_واحد_میں,11
آن_کا_مہمان,11
آن_کی_آن,8
آن_کی_آن_میں,12
آنؤ,3
آنا,3
آنا_جانا,8
آنا_فانا,8
آنا_فانا_میں,12
آنا_پائی_سے,11
آنات,4
آنار,4
آناکانی,7
آنب,3
آنبی,4
آنت,3
آنتوں,5
آنتڑی,5
آنتڑیاں,7
آنتیں,5
آنتیہ,5
آنثر,4
آنثہ,4
آنجن,4
آنجنا,5
آنجناب,6
آنجنی,5
آنجنیاں,7
آنجھو,5
آنجھوؤ,6
آنجھوؤں,7
آنجہانی,7
آنحضرت,6
آنحضور,6
آند,3
آندد,4
آندریا,6
آندرے,5
آندو,4
آندوؤ,5
آندوؤں,6
آندھ,4
آندھا_ساجھا,11
آندھر,5
آندھرا,6
آندھریں,7
آندھوں,6
آندھی,5
آندھی_دھاندی,12
آندھی_روگ,9
آندھی_کے_آم,11
آندھیاں,7
آندھیوں,7
آندھیں,6
آندہ,4
آنر,3
آنرایبل,7
آنرت,4
آنرز,4
آنروں,5
آنریبل,6
آنریبلز,7
آنریری,6
آنریری_سیکرٹری,14
آنریری_مجسٹریٹ,14
آنسو,4
آنسو_توڑ,8
آنسو_ڈھال,9
آنسوؤ,5
آنسوؤں,6
آنسٹ,4
آنسٹس,5
آنسہ,4
آنق,3
آنقہ,4
آنلائن,6
آنند,4
آنندوں,6
آنندگی,6
آنندگیاں,8
آنندہ,5
آنندی,5
آنندیاں,7
آنندیوں,7
آنندیں,6
آنو,3
آنول,4
آنولا,5
آنولوں,6
آنولہ,5
آنولی,5
آنولیں,6
آنولے,5
آنون,4
آنوں,4
آنٹ,3
آنٹ_سانٹ,8
آنٹا,4
آنٹوں,5
آنٹھی,5
آنٹھیاں,7
آنٹھیوں,7
آنٹی,4
آنٹیاں,6
آنٹیوں,6
آنٹیں,5
آنچ,3
آنچ_کی_کسر,10
آنچل,4
آنچل_دار,8
آنچل_پلو,8
آنچل_ڈلوائی,11
آنچل_گانٹھ,10
آنچلوں,6
آنچو,4
آنچوؤ,5
آنچوؤں,6
آنچوں,5
آنچیں,5
آنڈ,3
آنڈو,4
آنڈو_بیل,8
آنڈوؤ,5
آنڈوؤں,6
آنڈوں,5
آنڈی,4
آنڈیاں,6
آنڈے,4
آنڑ,3
آنڑی,4
آنڑیاں,6
آنک,3
آنک_لگنا,8
آنکا,4
آنکاؤ,5
آنکائیت,7
آنکس,4
آنکل,4
آنکلی,5
آنکوں,5
آنکڑا,5
آنکڑی,5
آنکڑیاں,7
آنکھ,4
آنکھ_اوجھل,10
آنکھ_اوڑ,8
آنکھ_بدلنا,10
آنکھ_بچا_کر,11
آنکھ_تلے,8
آنکھ_جھپکنا,11
آنکھ_سفیدی,10
آنکھ_سے_بچ_کر,13
آنکھ_لگائی,10
آنکھ_ملا_کر,11
آنکھ_مندی,9
آنکھ_موندکر,11
آنکھ_مچول,9
آنکھ_مچولی,10
آنکھ_میچ_کر,11
آنکھ_میں,8
آنکھ_والا,9
آنکھ_چرا_کر,11
آنکھ_ڈورا,9
آنکھ_کا_اجالا,13
آنکھ_کا_اندھا,13
آنکھ_کا_تارا,12
آنکھ_کا_تل,10
آنکھ_کا_جالا,12
آنکھ_کا_حجاب,12
آنکھ_کا_حلقہ,12
آنکھ_کا_رسیلا,13
آنکھ_کا_غبار,12
آنکھ_کا_لحاظ,12
آنکھ_کا_نشہ,11
آنکھ_کا_نور,11
آنکھ_کا_پردہ,12
آنکھ_کا_ڈورا,12
آنکھ_کا_ڈھلکا,13
آنکھ_کا_ڈھیلا,13
آنکھ_کا_کیچڑ,12
آنکھ_کی_حیا,11
آنکھ_کی_سفیدی,13
آنکھ_کی_سیاہی,13
آنکھ_کی_مروت,12
آنکھ_کی_ٹھنڈک,13
آنکھ_کی_پتلی,12
آنکھ_کی_پھلی,12
آنکھ_کی_گردش,12
آنکھ_کے_آگے,11
آنکھ_کے_اشارے_پر,16
آنکھ_کے_اندھے,13
آنکھ_کے_تارے,12
آنکھ_کے_پردے,12
آنکھوں,6
آنکھوں_آنکھوں_میں,17
آنکھوں_دیکھتے,13
آنکھوں_دیکھی,12
آنکھوں_سے,9
آنکھوں_سے_اوجھل,15
آنکھوں_سے_عزیز,14
آنکھوں_سے_مجبور,15
آنکھوں_میں,10
آنکھوں_پر,9
آنکھوں_کا_تیل,13
آنکھوں_کا_جادو,14
آنکھوں_کا_جی,12
آنکھوں_کا_نور,13
آنکھوں_کی_اندھی,15
آنکھوں_کی_حیا,13
آنکھوں_کی_سیل,13
آنکھوں_کی_صفائی,15
آنکھوں_کی_صورت,14
آنکھوں_کی_ٹھنڈک,15
آنکھوں_کی_پتلیاں,16
آنکھوں_کی_پتلیوں,16
آنکھوں_کے_اندھوں,16
آنکھوں_کے_اندھے,15
آنکھوں_کے_بل,12
آنکھوں_کے_تاروں,15
آنکھوں_کے_تارے,14
آنکھوں_کے_پردوں,15
آنکھوں_کے_پردے,14
آنکھوں_ہی_آنکھوں_میں,20
آنکھیں,6
آنکھیں_پھاڑ_کر,14
آنکہ,4
آنکیں,5
آنگ,3
آنگا,4
آنگبین,6
آنگن,4
آنگنوں,6
آنگھ,4
آنگھی,5
آنگھیاں,7
آنگی,4
آنگیاں,6
آنگے,4
آنہ,3
آنہڑ,4
آنی,3
آنی_بانی,8
آنی_جانی,8
آنین,4
آنیوالی,7
آنیوالے,7
آنیں,4
آنیہ,4
آنے,3
آنے_جانے,8
آنے_والی,8
آنے_کا,6
آو,2
آو_بھاو,7
آو_بھگت,7
آو_جاو,6
آوا,3
آوا_جاوا,8
آوا_جاوی,8
آوا_گمن,7
آواتار,6
آواجائی,7
آواجاہی,7
آوارا,5
آوارجہ,6
آوارجے,6
آوارگان,7
آوارگاں,7
آوارگی,6
آوارگیاں,8
آوارگیوں,8
آوارہ,5
آوارہ_بخت,9
آوارہ_جذبہ,10
آوارہ_خانماں,12
آوارہ_درویش,11
آوارہ_سری,9
آوارہ_مزاج,10
آوارہ_وطن,9
آوارہ_چشم,9
آوارہ_گرد,9
آوارۂ_غربت,10
آواز,4
آواز_بازگشت,11
آواز_جرس,8
آواز_خندہ,9
آواز_دبانا,10
آواز_درا,8
آواز_دہندہ,10
آواز_سے,7
آواز_صور,8
آواز_غیب,8
آواز_نگار,9
آواز_پا,7
آواز_پر,7
آواز_کا_پلا,11
آواز_کش,7
آواز_گیر,8
آوازو,5
آوازوں,6
آوازہ,5
آوازہ_خلق,9
آوازہ_کشی,9
آوازیں,6
آوازے,5
آوان,4
آواگمن,6
آواگون,6
آواہ,4
آواے,4
آوت,3
آوتار,5
آوتیں,5
آوج,3
آوخ,3
آوخ_آور,7
آوخیں,5
آور,3
آور_تک,6
آورا,4
آورالعین,8
آورتک,5
آورجہ,5
آورد,4
آوردن,5
آوردگان,7
آوردگاہ,7
آوردگاہی,8
آوردہ,5
آوردہ_نویس,10
آوردہ_گاہ,9
آوردیں,6
آوروں,5
آوری,4
آون,3
آونا,4
آوند,4
آونگ,4
آونگی,5
آونہ,4
آونیں,5
آووں,4
آوٹ,3
آوٹنگ,5
آوٹنگز,6
آوہ,3
آویختنہ,7
آویختوں,7
آویختگان,8
آویختہ,6
آویز,4
آویزا,5
آویزاں,6
آویزش,5
آویزشوں,7
آویزشیں,7
آویزو,5
آویزوں,6
آویزہ,5
آویزہ_دار,9
آویزہ_کشی,9
آویزے,5
آویژہ,5
آویں,4
آوے,3
آٹ,2
آٹا,3
آٹا_آٹا,7
آٹا_دال,7
